Species,Transition,λrest_micron,Δλobs_1E-4micron,A_s-1,El_cm-1,Eu,IHII,σHII,IAtomic,σAtomic_10−5 erg s−1 cm−2 sr−1,IDF1,σDFl,IDF2,σDF2,IDF3,σDF3
Ar III,3P–3P 1 -0,21.8291,-2,5.19E-03,1112,1570,94.13,1.38,48.27,2.02,27.58,0.68,24.18,0.6,19.1,0.7
H I,45546,22.3405,-26,2.81E+04,108325,108772,13.28,0.68,–,–,–,–,–,–,–,–
Fe III,5D–5D4-3,22.925,15,2.80E-03,0,436,141.05,3.71,88.91,3.2,39.08,2.11,29.57,1.23,25.94,1.21
S I,3P–3P2 - 1,25.249,44,1.40E-03,0,396,–,–,–,–,6.64,4.04,7.57,3.49,16.38,1.94
Fe II,a6D–a6D 9/2 - 7/2,25.9884,70,2.13E-03,0,385,55.8,10.65,298.31,33.29,158.19,14.68,152.99,11.69,37.46,8.31
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
